Tag|Longer|Shorter|Score|Ratio|Equivalence
[NN]|percent|%|0-0|0.0|Equivalence
[JJ]|percent|%|0-0|0.0|Equivalence
[JJ]|technical-cooperation|tc|0-0|0.1|Equivalence
[NNP]|genetically-modified|gm|0-0|0.1052631578947368|Equivalence
[JJ]|reproductive-health|rh|0-0|0.1111111111111111|Equivalence
[NNP]|directorate-general|dg|0-0|0.1111111111111111|Equivalence
[JJ]|directorate-general|dg|0-0|0.1111111111111111|Equivalence
[NN]|directorate-general|dg|0-0|0.1111111111111111|Equivalence
[JJ]|three-dimensional|3d|0-0|0.125|Equivalence
[NNP]|three-dimensional|3d|0-0|0.125|Equivalence
[JJ]|three-dimensional|3-d|0-0|0.125|Equivalence
[JJ]|weapons-of-mass-destruction|wmd|0-0|0.125|Equivalence
[JJ]|foreign-direct-investment|fdi|0-0|0.1304347826086956|Equivalence
[JJ]|third-generation|3g|0-0|0.1333333333333333|Equivalence
[JJ]|nagorny-karabakh|nk|0-0|0.1333333333333333|Equivalence
[NNP]|nagorny-karabakh|nk|0-0|0.1333333333333333|Equivalence
[NN]|third-generation|3g|0-0|0.1333333333333333|Equivalence
[JJ]|public-relations|pr|0-0|0.1333333333333333|Equivalence
[NN]|public-relations|pr|0-0|0.1333333333333333|Equivalence
[NNP]|nagorno-karabagh|nk|0-0|0.1333333333333333|Equivalence
[JJ]|human-resources|hr|0-0|0.1428571428571428|Equivalence
[NNP]|results-based-budgeting|rbb|0-0|0.1428571428571428|Equivalence
[NNP]|fourth-quarter|q4|0-0|0.1538461538461538|Equivalence
[JJ]|human-resource|hr|0-0|0.1538461538461538|Equivalence
[JJ]|fourth-quarter|q4|0-0|0.1538461538461538|Equivalence
[NNP]|fourth-quarter|4q|0-0|0.1538461538461538|Equivalence
[NNS]|nuclear-weapon-states|nws|0-0|0.1578947368421052|Equivalence
[RB]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[NN]|seventy-eight|78|0-0|0.1666666666666666|Equivalence
[JJ]|seventy-eight|78|0-0|0.1666666666666666|Equivalence
[NN]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[NNP]|pennsylvania|pa.|0-0|0.1666666666666666|Equivalence
[JJ]|third-quarter|q3|0-0|0.1666666666666666|Equivalence
[NNP]|third-quarter|q3|0-0|0.1666666666666666|Equivalence
[NNP]|headquarters|hq|0-0|0.1666666666666666|Equivalence
[NN]|headquarters|hq|0-0|0.1666666666666666|Equivalence
[NNP]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[FW]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[VBN]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[JJ]|managing-for-results|rbm|0-0|0.1666666666666666|Equivalence
[NNP]|third-quarter|3q|0-0|0.1666666666666666|Equivalence
[JJ]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[CD]|seventy-eight|78|0-0|0.1666666666666666|Equivalence
[NNP]|directorate-general|dgs|0-0|0.1666666666666666|Equivalence
[NNP]|bosnia-hercegovina|bih|0-0|0.1764705882352941|Equivalence
