Tag|Longer|Shorter|Score|Ratio|Equivalence
[NN]|directorate-general|dg|0-0|0.1052631578947368|Equivalence
[JJ]|three-dimensional|3d|0-0|0.1176470588235294|Equivalence
[NN]|percent|%|0-0|0.1428571428571428|Equivalence
[CD]|seventy-eight|78|0-0|0.1538461538461538|Equivalence
[JJ]|seventy-eight|78|0-0|0.1538461538461538|Equivalence
[NN]|seventy-eight|78|0-0|0.1538461538461538|Equivalence
[NN]|eighty-seven|87|0-0|0.1666666666666666|Equivalence
[CD]|twenty-eight|28|0-0|0.1666666666666666|Equivalence
[NN]|bosnia-herzegovina|bih|0-0|0.1666666666666666|Equivalence
[NN]|seventy-nine|79|0-0|0.1666666666666666|Equivalence
[NN]|seventy-four|74|0-0|0.1666666666666666|Equivalence
[CD]|eighty-seven|87|0-0|0.1666666666666666|Equivalence
[JJ]|eighty-seven|87|0-0|0.1666666666666666|Equivalence
[JJ]|bosnia-herzegovina|bih|0-0|0.1666666666666666|Equivalence
[NN]|thirty-three|33|0-0|0.1666666666666666|Equivalence
[NN]|headquarters|hq|0-0|0.1666666666666666|Equivalence
[CD]|thirty-three|33|0-0|0.1666666666666666|Equivalence
[CD]|twenty-seven|27|0-0|0.1666666666666666|Equivalence
[VBN]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[CD]|seventy-nine|79|0-0|0.1666666666666666|Equivalence
[NN]|twenty-three|23|0-0|0.1666666666666666|Equivalence
[JJ]|seventy-four|74|0-0|0.1666666666666666|Equivalence
[JJ]|seventy-nine|79|0-0|0.1666666666666666|Equivalence
[NNP]|headquarters|hq|0-0|0.1666666666666666|Equivalence
[JJ]|twenty-seven|27|0-0|0.1666666666666666|Equivalence
[JJ]|thirty-three|33|0-0|0.1666666666666666|Equivalence
[JJ]|twenty-three|23|0-0|0.1666666666666666|Equivalence
[NN]|twenty-eight|28|0-0|0.1666666666666666|Equivalence
[NN]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[JJ]|twenty-eight|28|0-0|0.1666666666666666|Equivalence
