Tag|Longer|Shorter|Score|Ratio|Equivalence
[ADJP]|mad about the stuff that happened|mad|0-0 0-1 0-2 0-3 0-4 0-5|0.0909090909090909|Equivalence
[X]|non-governmental organizations -lrb- ngos -rrb- ,|ngo 's|0-0 0-1 0-2 0-3 1-3 0-4 1-5|0.1224489795918367|Equivalence
[NP]|non-governmental organizations -lrb- ngos -rrb-|ngo 's|0-0 0-1 0-2 1-2 0-3 0-4|0.1276595744680851|Equivalence
[X]|, united nations industrial development organization|, unido|0-0 1-1 1-2 1-3 1-4 1-5|0.1346153846153846|Equivalence
[X]|applicable preferential tariffs ust ,|ust ,|0-0 1-0 2-0 3-0 4-1|0.1351351351351351|Equivalence
[X]|non-governmental organizations -lrb- ngos -rrb- in|ngos in|0-0 0-1 0-2 0-3 0-4 1-5|0.14|Equivalence
[X]|non-governmental organizations -lrb- ngos -rrb- in|ngos at|0-0 0-1 0-2 0-3 0-4 1-5|0.14|Equivalence
[NP]|the television|tv|0-0 1-0|0.1428571428571428|Equivalence
[NP]|official development assistance -lrb- oda -rrb-|its oda|0-0 1-1 1-2 1-3 1-4 1-5|0.1489361702127659|Equivalence
[X]|non-governmental organizations -lrb- ngos -rrb-|ngos as|0-0 0-1 0-2 1-2 0-3 0-4|0.1489361702127659|Equivalence
[X]|nongovernmental organizations -lrb- ngos|ngo 's|0-0 0-1 0-2 0-3 1-3|0.15|Equivalence
[SBAR]|why this is the case|why|0-0 0-1 0-2 0-3 0-4|0.15|Equivalence
[X]|non-governmental organization -lrb- ngo -rrb-|ngos as|0-0 0-1 0-2 0-3 1-3 0-4|0.1555555555555555|Equivalence
[X]|and non-governmental organizations -lrb- ngos -rrb-|, ngos ,|0-0 1-1 1-2 1-3 2-3 1-4 1-5|0.1568627450980392|Equivalence
[S]|"the answer is "" yes"|yes|0-0 0-1 0-2 0-3 0-4|0.1578947368421052|Equivalence
[X]|non-governmental organizations -lrb- ngos -rrb- ,|ngos and|0-0 0-1 0-2 0-3 0-4 1-5|0.1632653061224489|Equivalence
[VP]|'ve all been waiting for|wait|0-0 0-1 0-2 0-3 0-4 0-5|0.1666666666666666|Equivalence
[X]|and the international labour organization|and ilo|0-0 1-1 2-1 3-1 4-1|0.1707317073170731|Equivalence
[X]|non-governmental organizations -lrb- ngos|ngos as|0-0 0-1 0-2 1-2 0-3|0.1707317073170731|Equivalence
[X]|non-governmental organizations -lrb- ngos|to ngos|2-0 0-1 1-1 2-1 3-1|0.1707317073170731|Equivalence
[X]|non-governmental organizations -lrb- ngos|of ngos|0-0 1-1 1-2 1-3|0.1707317073170731|Equivalence
[VP]|cope with the situation|cope|0-0 1-0 2-0 3-0|0.1739130434782608|Equivalence
[X]|nongovernmental organizations -lrb- ngos|to ngos|2-0 0-1 1-1 2-1 3-1|0.175|Equivalence
